GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS237457683	2017-02-06 10:09:06	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Coffeeville Lake Public Use Area	L919299	H	31.7511604	-88.1438255	2014-02-28	12:00:00	obsr119478	S17242913	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS237457681	2017-02-06 10:09:06	7071	species	avibase-3AC46C54	Double-crested Cormorant	Nannopterum auritum				3					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Coffeeville Lake Public Use Area	L919299	H	31.7511604	-88.1438255	2014-02-28	12:00:00	obsr119478	S17242913	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS237457680	2017-02-06 10:09:06	27185	species	avibase-A8347C7D	Eastern Bluebird	Sialia sialis				3					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Coffeeville Lake Public Use Area	L919299	H	31.7511604	-88.1438255	2014-02-28	12:00:00	obsr119478	S17242913	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS237457685	2017-02-06 10:09:06	7168	species	avibase-93694BB5	Great Blue Heron	Ardea herodias				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Coffeeville Lake Public Use Area	L919299	H	31.7511604	-88.1438255	2014-02-28	12:00:00	obsr119478	S17242913	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS237457682	2017-02-06 10:09:06	10707	species	avibase-078557F2	Red-bellied Woodpecker	Melanerpes carolinus				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Coffeeville Lake Public Use Area	L919299	H	31.7511604	-88.1438255	2014-02-28	12:00:00	obsr119478	S17242913	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS237457684	2017-02-06 10:09:06	6326	species	avibase-23863F65	Ring-billed Gull	Larus delawarensis				4					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Coffeeville Lake Public Use Area	L919299	H	31.7511604	-88.1438255	2014-02-28	12:00:00	obsr119478	S17242913	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS237457686	2017-02-06 10:09:06	7416	species	avibase-36B3872D	Turkey Vulture	Cathartes aura				3					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Coffeeville Lake Public Use Area	L919299	H	31.7511604	-88.1438255	2014-02-28	12:00:00	obsr119478	S17242913	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698871	2018-08-06 16:05:10	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703044	2017-02-06 10:09:06	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698881	2018-08-06 16:05:10	32859	species	avibase-4D207AF6	Black-and-white Warbler	Mniotilta varia				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703046	2017-02-06 10:09:06	33465	species	avibase-A7A75EA1	Blue Grosbeak	Passerina caerulea				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698884	2018-08-06 16:05:10	20496	species	avibase-1DA430B8	Blue Jay	Cyanocitta cristata				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703049	2017-02-06 10:09:06	8075	species	avibase-79F3C681	Broad-winged Hawk	Buteo platypterus				3					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703054	2017-02-06 10:09:06	26211	species	avibase-A15C5071	Blue-gray Gnatcatcher	Polioptila caerulea				3					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698885	2018-08-06 16:05:10	26211	species	avibase-A15C5071	Blue-gray Gnatcatcher	Polioptila caerulea				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
