week,time,mmwrWeek,siteID,amblyomma_americanum,tempMin,tempMax,tempMean
1,2015-04-19,16,BLAN,0,-0.9421,25.4433,10.9859488095238
4,2015-05-10,19,BLAN,9.81595092,4.2909,29.0476,18.695137202381
7,2015-05-31,22,BLAN,10,12.7401,29.8919,17.3016389880952
8,2015-06-07,23,BLAN,19.39393939,9.9451,32.0417,22.0378585274327
10,2015-06-21,25,BLAN,3.137254902,14.6121,32.4659,22.5872681547619
13,2015-07-12,28,BLAN,3.661327231,11.6743,29.6395,21.4383922619048
16,2015-08-02,31,BLAN,0,13.8841,30.6443,21.229018452381
19,2015-08-23,34,BLAN,0,10.8552,30.0828,19.2936232142857
22,2015-09-13,37,BLAN,0,7.1482,27.1209,16.5223218055556
26,2015-10-11,41,BLAN,0,1.2039,24.4045,11.6285806547619
31,2015-11-15,46,BLAN,0,-5.1473,19.2734,5.15347987745098
34,2015-12-06,49,BLAN,0,-6.6285,23.8843,4.72986726190476
48,2016-03-13,11,BLAN,0,0.0445,23.1063,9.84273660714286
54,2016-04-24,17,BLAN,4.819277108,2.1972,26.9704,13.3414985119048
57,2016-05-15,20,BLAN,9.87654321,5.014,22.7641,13.5392741319444
60,2016-06-05,23,BLAN,41.02564103,6.9643,33.5387,19.9752238095238
63,2016-06-26,26,BLAN,17.0575693,11.5758,31.0791,21.4567538690476
66,2016-07-17,29,BLAN,0,19.074,36.5264,28.7727947916667
69,2016-08-07,32,BLAN,0,15.178,31.7882,22.6490238626126
72,2016-08-28,35,BLAN,3.319502075,18,34,24.4
75,2016-09-18,38,BLAN,4.863221884,13,32,23.0857
78,2016-10-09,41,BLAN,0,3,24,12.2
102,2017-03-26,13,BLAN,0,6,23,11.2714
105,2017-04-16,16,BLAN,0,6.2457,22.5899,14.953125
108,2017-05-07,19,BLAN,0,2.2988,15.0059,9.00572
111,2017-05-28,22,BLAN,3.404255319,15.7491,23.7426,19.4974833333333
114,2017-06-18,25,BLAN,0,16.9569,29.3255,24.3941367739899
117,2017-07-09,28,BLAN,0,14.266,31.8272,23.5827586309524
120,2017-07-30,31,BLAN,9.917355372,11.2529,30.4293,21.4622238095238
123,2017-08-20,34,BLAN,0,11.5112,31.5378,21.0688982142857
125,2017-09-03,36,BLAN,0,8.1429,28.6251,16.6105360119048
129,2017-10-01,40,BLAN,0,10.4322,29.1954,19.5018625
158,2018-04-22,17,BLAN,0,3.5575,24.4286,12.9196797619048
161,2018-05-13,20,BLAN,30,16.2118,31.3606,23.6096485416667
164,2018-06-03,23,BLAN,35,10.2737,28.77,18.5561880952381
167,2018-06-24,26,BLAN,16.66666667,15.2944,31.3045,22.4978125
170,2018-07-15,29,BLAN,0,17,34,23.9
173,2018-08-05,32,BLAN,0,18.6183,27.5931,22.7483892857143
176,2018-08-26,35,BLAN,20.77922078,15.6158,29.1606,23.1689943452381
179,2018-09-16,38,BLAN,0,16.4907,26.5297,21.3797214285714
210,2019-04-21,17,BLAN,10.1910828,5.1666,27.5621,15.012056547619
213,2019-05-12,20,BLAN,0,4.3467,27.7721,14.0321125
216,2019-06-02,23,BLAN,10,5.6675,28.9892,19.0819351190476
219,2019-06-23,26,BLAN,0,9.8848,33.2837,22.4985821428571
220,2019-06-30,27,BLAN,0,12.6558,33.8272,23.5878982142857
222,2019-07-14,29,BLAN,0,19.8887,34.3143,26.1344401018519
225,2019-08-04,32,BLAN,3.29218107,13.0196,30.179,22.2870395833333
228,2019-08-25,35,BLAN,3.368421053,11.5275,26.8904,18.8423639880952
231,2019-09-15,38,BLAN,0,6.4753,29.2667,17.885949702381
270,2020-06-14,25,BLAN,0,13.0748,25.3206,19.2648555510462
273,2020-07-05,28,BLAN,4.848484848,18.1137,32.7972,24.7293092261905
276,2020-07-26,31,BLAN,0,18.1509,32.8385,24.4043101190476
283,2020-09-13,38,BLAN,0,2.8332,25.6026,15.5014744047619
