"week","time","mmwrWeek","siteID","amblyomma_americanum","tempMin","tempMax","tempMean"
1,2015-06-28,26,"KONZ",30,18.1072,34.4609,22.82816
4,2015-07-19,29,"KONZ",10,18.0478,35.7361,24.57105
7,2015-08-09,32,"KONZ",30,20.2139,31.6145,25.15493
10,2015-08-30,35,"KONZ",30,20.2763,33.2375,26.868975
13,2015-09-20,38,"KONZ",20,14.5913,24.9328,19.75849
45,2016-05-01,18,"KONZ",210,7.754,29.4116,15.7804446428571
48,2016-05-22,21,"KONZ",310,14.2061,27.2971,19.8017788690476
51,2016-06-12,24,"KONZ",320,20.408,36.1907,27.378569047619
54,2016-07-03,27,"KONZ",160,16.9851,34.5539,25.2250577380952
57,2016-07-24,30,"KONZ",130,18.49,32.7323,24.8058632028875
60,2016-08-14,33,"KONZ",60,15.5244,32.4468,24.1176026785714
63,2016-09-04,36,"KONZ",0,11.7663,31.6702,24.4409654761905
66,2016-09-25,39,"KONZ",0,7.6451,26.7131,16.4908160714286
69,2016-10-16,42,"KONZ",0,5.4269,31.0271,17.1702860119048
95,2017-04-16,16,"KONZ",20,7.7655,27.7082,15.8739172619048
98,2017-05-07,19,"KONZ",170,23.7521,23.7521,23.7521
100,2017-05-21,21,"KONZ",60,17.0085,17.0085,17.0085
104,2017-06-18,25,"KONZ",80,14.5023,33.9922,24.3684785714286
107,2017-07-09,28,"KONZ",30,20.9305,36.9038,27.9245485119048
110,2017-07-30,31,"KONZ",20,12.736,29.7786,21.5881954816017
113,2017-08-20,34,"KONZ",20,17.4259,28.8241,24.0328197916667
116,2017-09-10,37,"KONZ",30,14.7463,34.4422,23.5545145833333
150,2018-05-06,19,"KONZ",250,14.7293,30.5894,23.475157377153
153,2018-05-27,22,"KONZ",500,14.7807,32.7074,24.8191987706456
156,2018-06-17,25,"KONZ",50,15.6078,35.0548,24.0019306547619
159,2018-07-08,28,"KONZ",60,16.7034,38.2243,28.4302263798701
162,2018-07-29,31,"KONZ",90,14.9933,35.3277,23.9578398809524
165,2018-08-19,34,"KONZ",20,15.7763,32.9083,22.2407580357143
168,2018-09-09,37,"KONZ",20,13.1642,31.0748,21.6095386904762
200,2019-04-21,17,"KONZ",20,8.6453,29.4483,15.7807112773488
203,2019-05-12,20,"KONZ",70,7.7444,30.9465,19.9004735119048
206,2019-06-02,23,"KONZ",270,14.4216,29.6447,23.4416523809524
209,2019-06-23,26,"KONZ",180,23.6124,33.9688,29.2481652777778
212,2019-07-14,29,"KONZ",150,19.8688,35.2236,28.0059696428571
215,2019-08-04,32,"KONZ",60,18.4577,32.0472,24.9307178571429
218,2019-08-25,35,"KONZ",60,13.7387,32.1259,21.4953053571429
221,2019-09-15,38,"KONZ",70,21.374,33.7529,25.7806
259,2020-06-07,24,"KONZ",220,12.0119,31.6216,24.271000297619
262,2020-06-28,27,"KONZ",150,19.2188,31.6889,26.020031547619
265,2020-07-19,30,"KONZ",170,19.4413,32.2897,25.9775870847176
268,2020-08-09,33,"KONZ",540,19.8051,32.149,25.9339235119048
271,2020-08-30,36,"KONZ",240,12.271,33.4081,22.6811699404762
274,2020-09-20,39,"KONZ",0,12.0661,34.1619,21.0516878926038
