week,time,mmwrWeek,siteID,amblyomma_americanum,tempMin,tempMax,tempMean
1,2016-05-29,22,LENO,30,18.5245,31.8449,25.1335857142857
5,2016-06-26,26,LENO,10,19.746,34.5454,26.3441107142857
8,2016-07-17,29,LENO,13.33333333,22,34.2024,26.9534925595238
11,2016-08-07,32,LENO,20,23.4783,29.5915,26.1415552631579
15,2016-09-04,36,LENO,100,20,35,27
17,2016-09-18,38,LENO,60,18,38,27.5428
20,2016-10-09,41,LENO,20,8,32,20.11429
47,2017-04-16,16,LENO,6.037735849,16.5084,18.1701,17.33925
50,2017-05-07,19,LENO,19.27710843,19.2518,29.5521,22.52942
53,2017-05-28,22,LENO,10.66666667,20.5355,30.3403,23.2437417679654
56,2017-06-18,25,LENO,10,20.8881,32.0656,24.4263133928571
59,2017-07-09,28,LENO,12.54901961,23.5518,32.0929,26.6882133333333
62,2017-07-30,31,LENO,24.61538462,18.4148,31.3691,25.0174893110436
65,2017-08-20,34,LENO,49.23076923,18.9253,32.3001,25.9739648809524
68,2017-09-10,37,LENO,15.48387097,14.8743,30.5232,20.5873709218147
71,2017-10-01,40,LENO,10.32258065,16.7613,29.6896,23.082618452381
102,2018-05-06,19,LENO,0,12.0851,31.0175,22.8050268923034
106,2018-06-03,23,LENO,10.38961039,16.7679,32.6009,24.7414368287741
108,2018-06-17,25,LENO,37.64705882,21.2066,32.169,26.6570964015152
118,2018-08-26,35,LENO,21.33333333,21.282,32.1452,25.3028579597264
123,2018-09-30,40,LENO,10,18.9161,30.7217,24.6726577380952
156,2019-05-19,21,LENO,11.03448276,16.886,30.6432,23.5577135606061
161,2019-06-23,26,LENO,10,21.0328,30.5312,25.6896501449275
167,2019-08-04,32,LENO,20.31746032,20.9641,34.1267,26.9548205357143
