week,time,mmwrWeek,siteID,amblyomma_americanum,tempMin,tempMax,tempMean
1,2015-05-03,18,ORNL,32.5,11.7048,26.1919,19.73724
4,2015-05-24,21,ORNL,79.53757225,19.6358,26.5578,22.7278833333333
7,2015-06-14,24,ORNL,75,21.0848,29.4763,26.315775
10,2015-07-05,27,ORNL,179.6923077,21.8773,28.326,24.7700041666667
13,2015-07-26,30,ORNL,85,18.647,29.959,23.5314429166667
16,2015-08-16,33,ORNL,34,17.8356,26.5835,22.1054692708333
20,2015-09-13,37,ORNL,63.60248447,11.5357,25.69,18.7685873015873
23,2015-10-04,40,ORNL,0,13.8471,25.3843,19.4381785714286
25,2015-10-18,42,ORNL,0,3.0247,22.5707,12.8433973214286
29,2015-11-15,46,ORNL,0,2.9296,21.2234,11.371805952381
32,2015-12-06,49,ORNL,0,5.1089,19.5958,13.2482863903986
45,2016-03-06,10,ORNL,5.811138015,3.2694,25.0831,16.3461514880952
48,2016-03-27,13,ORNL,9.979209979,7.0408,22.4516,15.0314625
51,2016-04-17,16,ORNL,27.72277228,11.4083,27.3506,19.6075231481481
54,2016-05-08,19,ORNL,93.65853659,11,29,20.8
57,2016-05-29,22,ORNL,98.98580122,18.19,29.7552,23.445630952381
60,2016-06-19,25,ORNL,115.8221303,19.209,31.4085,25.1538232142857
63,2016-07-10,28,ORNL,109.3877551,19.4183,30.4072,24.4837366071429
66,2016-07-31,31,ORNL,40.69175992,22,34,27.15714
69,2016-08-21,34,ORNL,49.74093264,17.7164,32.3273,24.8078208333333
72,2016-09-11,37,ORNL,11.46366428,17.501,31.7828,25.3791086309524
75,2016-10-02,40,ORNL,7.738814994,13.8865,27.5775,20.5744645833333
81,2016-11-13,46,ORNL,0,4.0447,23.2579,12.4685223214286
99,2017-03-19,12,ORNL,4,3.3859,26.0067,13.2442544642857
102,2017-04-09,15,ORNL,33.66336634,8.2026,28.3117,20.4627338032581
105,2017-04-30,18,ORNL,134.5491388,7.2135,27.3983,17.2596167857143
108,2017-05-21,21,ORNL,138.2113821,10.2049,25.5187,20.2912369965675
111,2017-06-11,24,ORNL,103.2258065,18.0339,29.0854,23.5185681972789
114,2017-07-02,27,ORNL,168.7693899,18.7596,27.7577,22.8281726190476
118,2017-07-30,31,ORNL,111.2033195,15.1931,28.3196,22.7707226190476
120,2017-08-13,33,ORNL,137.3319545,18.6728,28.9941,24.8197860119048
123,2017-09-03,36,ORNL,23.23651452,10.6123,25.9202,18.1043092261905
126,2017-09-24,39,ORNL,13.3611691,21.3716,26.0549,23.18644
152,2018-03-25,13,ORNL,0,5.1037,18.2719,11.6093288578089
155,2018-04-15,16,ORNL,22.74111675,0.1254,25.1998,11.2047011904762
158,2018-05-06,19,ORNL,98.56262834,13.1564,25.7384,19.7804498484848
162,2018-06-03,23,ORNL,322.6611227,16.9591,29.403,24.7800153125
164,2018-06-17,25,ORNL,896,19.5198,31.3803,24.770712797619
167,2018-07-08,28,ORNL,279.5959596,19.8877,30.1453,25.3818970508658
171,2018-08-05,32,ORNL,451.6666667,19.8183,29.2664,24.0362579642857
173,2018-08-19,34,ORNL,248.3042138,15.5209,27.3044,22.5612505952381
176,2018-09-09,37,ORNL,177.7777778,17.3364,30.4166,23.5649218211753
179,2018-09-30,40,ORNL,26.39175258,16.866,28.9347,23.2042306547619
204,2019-03-24,13,ORNL,0,6.0784,22.3601,13.4783976190476
207,2019-04-14,16,ORNL,21.28174123,5.0313,25.7158,16.0254710347985
210,2019-05-05,19,ORNL,56.33802817,12.3693,27.3128,19.800755952381
213,2019-05-26,22,ORNL,46.09053498,16.7588,30.5928,24.644324702381
216,2019-06-16,25,ORNL,76.26943005,17.8817,28.7028,22.5268696428571
219,2019-07-07,28,ORNL,70,21.0754,31.4297,25.6446592261905
222,2019-07-28,31,ORNL,52.41809672,19.0148,29.2162,24.1031395833333
225,2019-08-18,34,ORNL,32,20.5307,32.3336,25.4696047619048
226,2019-08-25,35,ORNL,33.20363165,14.9689,28.9319,22.0154553571429
228,2019-09-08,37,ORNL,14.83007209,17.1111,32.5556,25.7926839285714
266,2020-05-31,23,ORNL,111.4754098,14.5807,29.1127,22.6510193452381
268,2020-06-14,25,ORNL,93.16909295,14.1847,26.816,19.6781669642857
271,2020-07-05,28,ORNL,44.58204334,20.9549,31.2313,25.59824375
275,2020-08-02,32,ORNL,76.19047619,18.3871,29.8242,23.3846145833333
277,2020-08-16,34,ORNL,56.78496868,18.5392,28.782,22.9386988095238
280,2020-09-06,37,ORNL,51.34575569,14.8624,29.6954,23.6923776785714
