week,time,mmwrWeek,siteID,amblyomma_americanum,tempMin,tempMax,tempMean
1,2015-04-12,15,SCBI,10.08403361,8.6589,23.4634,15.0777699404762
4,2015-05-03,18,SCBI,24.65331279,15.1534,27.7105,20.6457589285714
7,2015-05-24,21,SCBI,155.8599696,14.5997,26.9021,22.0842193452381
10,2015-06-14,24,SCBI,97.18004338,18.5693,29.4834,24.042006547619
13,2015-07-05,27,SCBI,183.1325301,17.9183,27.7378,23.038387797619
16,2015-07-26,30,SCBI,190,20.5268,28.0563,24.368243452381
19,2015-08-16,33,SCBI,110,17.3235,29.7381,23.2099952806122
28,2015-10-18,42,SCBI,0,2.2259,26.3437,12.075030952381
31,2015-11-08,45,SCBI,0,2.2853,17.5369,8.50611488095238
37,2015-12-20,51,SCBI,0,-2.651,21.1072,10.7519672619048
51,2016-03-27,13,SCBI,0,2.0696,28.1943,12.7573523809524
54,2016-04-17,16,SCBI,0,7.0097,30.7596,17.1711791666667
58,2016-05-15,20,SCBI,0,5.5001,21.9993,11.7427014880952
60,2016-05-29,22,SCBI,20.54574639,17,31,23.1857
63,2016-06-19,25,SCBI,18.91891892,18.0794,27.9176,22.8837514880952
66,2016-07-10,28,SCBI,10.68447412,19.2422,30.6058,24.5487523809524
69,2016-07-31,31,SCBI,0,18.7003,28.0768,23.1118660714286
70,2016-08-07,32,SCBI,0,18.231,31.6635,25.0001830357143
72,2016-08-21,34,SCBI,3.418803419,18.1325,30.5779,23.7505169642857
75,2016-09-11,37,SCBI,0,15.2571,30.0778,21.4460050595238
78,2016-10-02,40,SCBI,0,9.77,20.5858,15.6921782738095
81,2016-10-23,43,SCBI,0,5.1477,23.407,11.7837613095238
84,2016-11-13,46,SCBI,0,3.2722,22.1421,11.6324255952381
102,2017-03-19,12,SCBI,0,-4.4099,23.0199,7.04315833333333
105,2017-04-09,15,SCBI,10.5090312,8.7983,27.6149,17.5282053571429
108,2017-04-30,18,SCBI,21.26245847,7.8699,27.0747,16.6349607142857
112,2017-05-28,22,SCBI,67.68189509,15.5779,25.4345,19.9724916666667
114,2017-06-11,24,SCBI,67.55555556,18.8607,30.1624,24.2095038690476
117,2017-07-02,27,SCBI,46.73539519,19.7623,29.0385,23.7882726190476
120,2017-07-23,30,SCBI,71.47766323,15.9953,30.1572,22.4159505952381
122,2017-08-06,32,SCBI,0,16.8725,26.5627,20.6972494047619
123,2017-08-13,33,SCBI,9.937888199,17.882,28.5297,22.6948253333333
126,2017-09-03,36,SCBI,3.326403326,11.9076,26.3998,17.5465339285714
129,2017-09-24,39,SCBI,0,12.1954,24.3083,16.7636
155,2018-03-25,13,SCBI,0,-4.1408,22.8497,6.26528333333333
158,2018-04-15,16,SCBI,14.28571429,-0.4235,23.6677,7.92259583333333
160,2018-04-29,18,SCBI,7.002188184,3.6559,30.7023,19.1528738095238
164,2018-05-27,22,SCBI,88.88888889,17.8436,28.1289,21.5535764030612
167,2018-06-17,25,SCBI,69.67741935,14.3714,30.9826,22.695237202381
170,2018-07-08,28,SCBI,72.25806452,14.5964,29.6916,22.9207463744589
173,2018-07-29,31,SCBI,51.98555957,17.6481,27.4723,21.6035577380952
174,2018-08-05,32,SCBI,21.62162162,20.3113,28.6279,24.8236514880952
176,2018-08-19,34,SCBI,10.66666667,14.2235,25.7788,20.8263428342491
180,2018-09-16,38,SCBI,0,15.994,25.9354,21.2983473214286
182,2018-09-30,40,SCBI,0,13.9901,28.1425,20.8097217261905
207,2019-03-24,13,SCBI,0,-1.135,21.953,9.43448630952381
210,2019-04-14,16,SCBI,0,6.1138,24.3136,15.2595658561297
214,2019-05-12,20,SCBI,0,7.0659,25.8875,14.9492800595238
216,2019-05-26,22,SCBI,20.38216561,16.0793,29.9476,23.1211014880952
217,2019-06-02,23,SCBI,20,11.9342,26.9231,19.926930141844
219,2019-06-16,25,SCBI,22.88686606,16.1475,29.0766,23.0972770833333
222,2019-07-07,28,SCBI,12.0754717,17.943,29.1138,23.4957461309524
223,2019-07-14,29,SCBI,10.14799154,21.2474,31.9539,26.9390950957557
225,2019-07-28,31,SCBI,2.547770701,18.0333,29.6625,24.295530952381
226,2019-08-04,32,SCBI,26.44628099,18.4061,28.599,23.9050324404762
228,2019-08-18,34,SCBI,4.401650619,14.5726,30.6858,23.7053482142857
231,2019-09-08,37,SCBI,0,16.4294,31.2488,22.1370038690476
234,2019-09-29,40,SCBI,0,5.3804,31.1224,21.1099461309524
235,2019-10-06,41,SCBI,0,7.8599,21.5905,14.4701235119048
272,2020-06-21,26,SCBI,19.3236715,17.5974,29.3649,22.9419020833333
275,2020-07-12,29,SCBI,9.155937053,19.59,31.8713,24.7916744047619
278,2020-08-02,32,SCBI,12.15189873,18.8182,27.6627,21.7958905448718
281,2020-08-23,35,SCBI,3.225806452,19.1381,30.1258,24.5584357142857
284,2020-09-13,38,SCBI,0,5.8977,23.4555,15.7390258928571
287,2020-10-04,41,SCBI,0,9.1656,25.5434,15.4957092261905
