week,time,mmwrWeek,siteID,amblyomma_americanum,tempMin,tempMax,tempMean
1,2016-03-20,12,SERC,0,0.2861,24.6391,10.8930092325228
4,2016-04-10,15,SERC,37.28813559,-1.5711,22.3983,10.3604523809524
10,2016-05-22,21,SERC,158.7301587,15.2617,30.5165,25.8516655978408
13,2016-06-12,24,SERC,145.2631579,18.2104,29.8763,22.2434788888889
16,2016-07-03,27,SERC,92.11514393,16.6419,32.4602,24.8096537914079
19,2016-07-24,30,SERC,89.79591837,21.9477,35.0253,27.5122086309524
22,2016-08-14,33,SERC,18.21138211,20.364,34.962,27.1501338883526
23,2016-08-21,34,SERC,124.4444444,16.1013,32.996,24.4352642857143
25,2016-09-04,36,SERC,14.79524439,15.6893,34.1541,24.7151142857143
28,2016-09-25,39,SERC,0,12.4759,22.2942,17.8227722489316
29,2016-10-02,40,SERC,3.326403326,12,24,17.62
31,2016-10-16,42,SERC,0,10.7493,29.4204,19.1349443452381
34,2016-11-06,45,SERC,0,1.329,20.706,10.9853488095238
37,2016-11-27,48,SERC,0,-3,17,8.72
55,2017-04-02,14,SERC,5.245901639,7.1272,21.8322,13.1666333333333
58,2017-04-23,17,SERC,60.78697422,12.291,24.5288,20.2444166666667
61,2017-05-14,20,SERC,185.1428571,10.8781,31.575,20.774965
64,2017-06-04,23,SERC,79.50310559,17.1835,29.2549,22.19049
65,2017-06-11,24,SERC,263.7362637,21.4418,28.8086,25.32455
67,2017-06-25,26,SERC,86.04651163,17.4582,29.8834,23.426378125
70,2017-07-16,29,SERC,64.16558862,18.576,31.185,25.8121709726444
73,2017-08-06,32,SERC,30.31123139,16.1851,25.9079,21.3047154761905
77,2017-09-03,36,SERC,18.48523748,11.3693,26.5723,18.3218595238095
79,2017-09-17,38,SERC,0,17.5886,26.7644,21.7152297059693
80,2017-09-24,39,SERC,0,17.5244,21.8516,19.6965166666667
83,2017-10-15,42,SERC,0,5.9165,22.5915,14.2496095238095
106,2018-03-25,13,SERC,0,-3,24,7.9
107,2018-04-01,14,SERC,10.52631579,1,22,8.76
111,2018-04-29,18,SERC,30.76923077,3,33,19.39
114,2018-05-20,21,SERC,171.2101911,13,33,22.8
117,2018-06-10,24,SERC,142.0849421,10,30,21.12
120,2018-07-01,27,SERC,208.3102493,19,37,27.76
126,2018-08-12,33,SERC,78.09762203,19,33,25.25
129,2018-09-02,36,SERC,34.56162643,17,34,26.33
131,2018-09-16,38,SERC,38.55421687,16,29,22.88
157,2019-03-17,12,SERC,0,-3,11,5.93
160,2019-04-07,15,SERC,2.543720191,7,28,16.69
163,2019-04-28,18,SERC,15.58441558,4,30,16.72
166,2019-05-19,21,SERC,90.22556391,10,32,22.09
169,2019-06-09,24,SERC,88.88888889,12,29,20.68
172,2019-06-30,27,SERC,85.89263421,18,36,26.71
175,2019-07-21,30,SERC,55,16,37,25.96
178,2019-08-11,33,SERC,52.65822785,16,33,26.75
181,2019-09-01,36,SERC,20.25316456,14,35,24.01
183,2019-09-15,38,SERC,10,9,33,21.52
209,2020-03-15,12,SERC,0,3,28,10.72
236,2020-09-20,39,SERC,7.5,5,27,16.42
