week,time,mmwrWeek,siteID,amblyomma_americanum,tempMin,tempMax,tempMean
1,2015-05-31,22,TALL,101.2448133,16.7191,32.9123,24.1938458333333
4,2015-06-21,25,TALL,60.22380468,22.8293,33.5723,27.7168666666667
7,2015-07-12,28,TALL,84.31372549,22.6628,33.9534,26.0338777777778
10,2015-08-02,31,TALL,19.58384333,24.1854,31.0543,27.02005
13,2015-08-23,34,TALL,70.70707071,18.1725,27.0925,22.3149
16,2015-09-13,37,TALL,47.94007491,12.1559,30.2723,21.6069233333333
19,2015-10-04,40,TALL,22.5,11.5773,30.8136,21.412774702381
22,2015-10-25,43,TALL,9.87654321,-75.0328,23.2307,17.4369613095238
25,2015-11-15,46,TALL,0,5.2944,23.6086,14.7193077380952
47,2016-04-17,16,TALL,125.984252,13.6676,26.7408,21.4052545280721
49,2016-05-01,18,TALL,65.64102564,9.2311,25.5408,19.4766899373325
52,2016-05-22,21,TALL,68.42767296,15.7302,29.1114,24.4513045299374
55,2016-06-12,24,TALL,43.33333333,23.4034,31.1297,28.7367333333333
59,2016-07-10,28,TALL,56.79314565,20.1631,24.7311,23.1054666666667
61,2016-07-24,30,TALL,79.20792079,23.6158,29.0442,26.0562
65,2016-08-21,34,TALL,92.90322581,27.0147,32.491,29.6754666666667
68,2016-09-11,37,TALL,157.5,21.1011,32.6226,25.87027
70,2016-09-25,39,TALL,30.18867925,19.4611,25.3669,22.7861
73,2016-10-16,42,TALL,5,13.1086,34.2517,25.3804833333333
76,2016-11-06,45,TALL,0,6.6614,24.5159,15.944325
94,2017-03-12,11,TALL,20,-3,23,7.84
97,2017-04-02,14,TALL,84.21052632,0,29,17.04
100,2017-04-23,17,TALL,168,11,31,20.29
103,2017-05-14,20,TALL,156,13,32,24.75
106,2017-06-04,23,TALL,80,14,31,23.17
109,2017-06-25,26,TALL,230,16,32,24.16
111,2017-07-09,28,TALL,0,19,33,26.26
112,2017-07-16,29,TALL,96.66666667,22.2714,35.0687,28.2156354166667
116,2017-08-13,33,TALL,103.3333333,22.315,34.573,26.6948701839827
118,2017-08-27,35,TALL,95,17.7341,30.3672,23.565094047619
121,2017-09-17,38,TALL,110,19.9112,33.934,25.0103869212963
147,2018-03-18,12,TALL,5,2.1938,26.5392,14.6185821428571
150,2018-04-08,15,TALL,20,0.7606,28.6804,16.3797583333333
153,2018-04-29,18,TALL,72.57731959,9.4381,30.9757,21.193630952381
156,2018-05-20,21,TALL,110,19.1246,33.0415,23.6195226000507
159,2018-06-10,24,TALL,37.5,20.0509,34.8402,25.0531616071429
162,2018-07-01,27,TALL,86.30705394,21.7734,34.0547,25.7763470436508
165,2018-07-22,30,TALL,73.33333333,20.612,35.7948,26.76789375
168,2018-08-12,33,TALL,36.66666667,21.7436,35.3726,26.5499583333333
171,2018-09-02,36,TALL,73.33333333,21.1528,34.194,25.7373144132653
175,2018-09-30,40,TALL,20,20.2121,32.9163,25.3006091071429
199,2019-03-17,12,TALL,14.9068323,2.9195,24.113,12.1471672619048
202,2019-04-07,15,TALL,30.09404389,14.5746,31.4304,21.0049955357143
205,2019-04-28,18,TALL,86.82170543,14.9066,31.09,22.4463385025063
208,2019-05-19,21,TALL,163.7795276,19.3092,31.5657,25.63150625
211,2019-06-09,24,TALL,37.05263158,16.9577,30.0051,23.4035376266464
215,2019-07-07,28,TALL,36.66666667,21.706,33.4278,26.50729375
217,2019-07-21,30,TALL,15.48387097,18.0802,31.0026,25.1332749353002
220,2019-08-11,33,TALL,24.77419355,21.1636,38.2259,28.317287202381
223,2019-09-01,36,TALL,38.01295896,17.6803,36.915,26.8192261904762
226,2019-09-22,39,TALL,37.05263158,17.6998,37.5652,27.3904276785714
251,2020-03-15,12,TALL,31.71806167,10.5393,28.5221,19.7469321428571
260,2020-05-17,21,TALL,23.41463415,13.4511,31.7769,21.4204428571429
267,2020-07-05,28,TALL,39.02439024,21.7147,34.7221,26.1729702380952
269,2020-07-19,30,TALL,28.43295638,21.1516,35.4466,26.5987529135338
272,2020-08-09,33,TALL,38.68131868,21.9607,37.2108,27.2310588850014
274,2020-08-23,35,TALL,128,21.0298,33.1786,25.6981895833333
278,2020-09-20,39,TALL,114.7826087,13.1096,29.4955,19.810449702381
