GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS254356482	2018-08-06 16:05:21	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				2					United States	US	Alabama	US-AL	Bibb	US-AL-007		28			Living River	L2612335	H	33.1718228	-87.0261061	2014-05-17	08:15:00	obsr239481	S18434663	Traveling	P22	EBIRD	92	0.322		7	1		0	1	0		Birmingham, AL Audubon trip with Susan Barrow, Pelham Rowan, Barbara Koehler and others		
URN:CornellLabOfOrnithology:EBIRD:OBS302265220	2017-02-06 09:49:47	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				4					United States	US	Alabama	US-AL	Bibb	US-AL-007	US-AL_2619	27			Talladega NF--Oakmulgee District FS-753	L3475952	H	32.9041190	-87.3503250	2015-03-07	13:20:00	obsr551059	S22280525	Traveling	P22	EBIRD	210	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS333126185	2021-03-25 09:39:09.907072	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007		27			Gary Springs Loop Rd	L3808057	P	32.9759513	-87.0747369	2015-07-18	06:15:00	obsr503027	S24365587	Traveling	P22	EBIRD	90	8.047		2	1	G1355671	0	1	0		Searching for a Swainson's Warbler at a location that Ty Keith had one earlier in the month.		
URN:CornellLabOfOrnithology:EBIRD:OBS333008998	2021-03-25 09:39:09.907072	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007		27			Gary Springs Loop Rd	L3808057	P	32.9759513	-87.0747369	2015-07-18	06:15:00	obsr351904	S24357031	Traveling	P22	EBIRD	90	8.047		2	1	G1355671	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS337044246	2017-02-06 09:49:46	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				4					United States	US	Alabama	US-AL	Bibb	US-AL-007	US-AL_2619	27			Talladega NF--Oakmulgee District	L2465581	H	32.9932945	-87.3045053	2015-08-17	08:05:00	obsr157963	S24663341	Traveling	P22	EBIRD	20	1.287		1	1		0	1	0		Driving on 745 in rain that started light but got heavier.		
URN:CornellLabOfOrnithology:EBIRD:OBS389347592	2017-02-06 09:49:46	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007	US-AL_2619	27			Talladega NF--Oakmulgee District	L2465581	H	32.9932945	-87.3045053	2016-04-08	08:00:00	obsr351904	S28809515	Traveling	P22	EBIRD	90	9.656		2	1	G1683717	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS389558638	2017-02-06 09:49:46	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007	US-AL_2619	27			Talladega NF--Oakmulgee District	L2465581	H	32.9932945	-87.3045053	2016-04-08	08:00:00	obsr503027	S28825033	Traveling	P22	EBIRD	90	9.656		2	1	G1683717	0	1	0		Cool 42 and sunny.  <br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS417233754	2018-08-06 16:07:21	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007	US-AL_2619	27			NEON_TALL_09.1	L4776739	P	32.9019678	-87.4108562	2016-07-10	09:02:00	obsr290215	S30634161	Stationary	P21	EBIRD	6			2	1	G1843169	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS417233706	2018-08-06 16:07:21	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007	US-AL_2619	27			NEON_TALL_09.1	L4776739	P	32.9019678	-87.4108562	2016-07-10	09:02:00	obsr215649	S30634155	Stationary	P21	EBIRD	6			2	1	G1843169	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS528166236	2017-08-27 15:00:52	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007		28	USFWS_586		Cahaba River Drive, Brierfield, Alabama, US (33.088, -87.049)	L6219313	P	33.0881703	-87.0487540	2017-08-27	12:32:00	obsr417231	S38852450	Traveling	P22	EBIRD	88	4.297		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS531707078	2021-04-01 01:27:56.862435	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007	US-AL_2619	27			Harrisburg Rd bridge	L6258813	P	32.8557917	-87.1988734	2017-09-10	08:25:00	obsr130801	S39105342	Traveling	P22	EBIRD	40	2.414		1	1		0	1	0		<br>Submitted from eBird Android 1.3		
URN:CornellLabOfOrnithology:EBIRD:OBS585095041	2018-03-06 08:58:51	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				3					United States	US	Alabama	US-AL	Bibb	US-AL-007		28			Bibb County Glades	L2612401	H	33.0615201	-87.0326453	2018-02-22	16:00:00	obsr293648	S43422846	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS591522989	2018-03-25 08:20:42	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007		28			906 County Road 65, Brierfield, Alabama, US (33.038, -86.985)	L7115529	P	33.0378396	-86.9848611	2018-03-24	14:30:00	obsr966802	S43935988	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS596573382	2018-04-07 10:42:53	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007		28			Bibb County Glades	L2612401	H	33.0615201	-87.0326453	2018-04-06	07:00:00	obsr1027412	S44323017	Stationary	P21	EBIRD	120			2	1		0	1	0		Linda and I sat in the parking lot at the BibbCounty Glade Preserve and tried calling a few birds .--Overcast day , difficult photography . A lot warmer than the day before .		
URN:CornellLabOfOrnithology:EBIRD:OBS599380922	2018-04-13 14:53:51	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007		27			Bibb County Lake	L4599508	H	33.0393562	-87.1583498	2018-04-13	07:00:00	obsr1027412	S44530430	Traveling	P22	EBIRD	95	3.219		2	1		0	1	0		I took Linda back to Bibb County Lake to see the Scarlet Tanager and the Orchard Oriole that I saw yesterday .--Did not see the Tanager , but got nice close-up shots of the Oriole .		
URN:CornellLabOfOrnithology:EBIRD:OBS596560801	2018-08-06 16:09:13	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				1					United States	US	Alabama	US-AL	Bibb	US-AL-007		28	USFWS_586		Cahaba River NWR--Cahaba River Loop	L7163173	H	33.0878940	-87.0505220	2018-04-05	07:15:00	obsr1027412	S44322114	Traveling	P22	EBIRD	135	1.609		1	1		0	1	0		Very cold ( 34 degrees ) and clear .		
URN:CornellLabOfOrnithology:EBIRD:OBS670118703	2018-10-25 09:26:33	1180	species	avibase-9C5ED06A	Wild Turkey	Meleagris gallopavo				3					United States	US	Alabama	US-AL	Bibb	US-AL-007		28			Living River	L2612335	H	33.1718228	-87.0261061	2018-10-20	07:52:00	obsr712396	S49436929	Traveling	P22	EBIRD	231	10.429		14	1		0	1	0		Birmingham Audubon trip led by Matt Hunter		
