"","week","perc_checklists","county"
"1",1,0,"Bibb"
"2",2,0,"Bibb"
"3",3,0,"Bibb"
"4",4,0.0714285714285714,"Bibb"
"5",5,0,"Bibb"
"6",6,0,"Bibb"
"7",7,0.0625,"Bibb"
"8",8,0.0476190476190476,"Bibb"
"9",9,0,"Bibb"
"10",10,0.0666666666666667,"Bibb"
"11",11,0,"Bibb"
"12",12,0.04,"Bibb"
"13",13,0.0869565217391304,"Bibb"
"14",14,0.0588235294117647,"Bibb"
"15",15,0.166666666666667,"Bibb"
"16",16,0.0333333333333333,"Bibb"
"17",17,0,"Bibb"
"18",18,0.0487804878048781,"Bibb"
"19",19,0,"Bibb"
"20",20,0.0476190476190476,"Bibb"
"21",21,0,"Bibb"
"22",22,0,"Bibb"
"23",23,0,"Bibb"
"24",24,0.0196078431372549,"Bibb"
"25",25,0,"Bibb"
"26",26,0.0526315789473684,"Bibb"
"27",27,0,"Bibb"
"28",28,0.0181818181818182,"Bibb"
"29",29,0.0714285714285714,"Bibb"
"30",30,0,"Bibb"
"31",31,0,"Bibb"
"32",32,0,"Bibb"
"33",33,0.4,"Bibb"
"34",34,0.125,"Bibb"
"35",35,0.2,"Bibb"
"36",36,0.25,"Bibb"
"37",37,0.2,"Bibb"
"38",38,0.0833333333333333,"Bibb"
"39",39,0.166666666666667,"Bibb"
"40",40,0,"Bibb"
"41",41,0.166666666666667,"Bibb"
"42",42,0.125,"Bibb"
"43",43,0,"Bibb"
"44",44,0,"Bibb"
"45",45,0.125,"Bibb"
"46",46,0,"Bibb"
"47",47,0,"Bibb"
"48",48,0.0714285714285714,"Bibb"
"49",49,0,"Bibb"
"50",50,0,"Bibb"
"51",51,0,"Bibb"
"52",52,0,"Bibb"
"53",53,0,"Bibb"
"54",1,0,"Choctaw"
"55",2,0,"Choctaw"
"56",3,0,"Choctaw"
"57",4,0,"Choctaw"
"58",5,0,"Choctaw"
"59",6,0,"Choctaw"
"60",7,0,"Choctaw"
"61",8,0,"Choctaw"
"62",9,0,"Choctaw"
"63",10,0,"Choctaw"
"64",11,0,"Choctaw"
"65",12,0.125,"Choctaw"
"66",13,0,"Choctaw"
"67",14,0,"Choctaw"
"68",15,0,"Choctaw"
"69",16,0,"Choctaw"
"70",17,0.0588235294117647,"Choctaw"
"71",18,0,"Choctaw"
"72",19,0,"Choctaw"
"73",20,0.0454545454545455,"Choctaw"
"74",21,0.024,"Choctaw"
"75",22,0,"Choctaw"
"76",23,0,"Choctaw"
"77",24,0,"Choctaw"
"78",25,0,"Choctaw"
"79",26,0,"Choctaw"
"80",27,0,"Choctaw"
"81",28,0,"Choctaw"
"82",29,0.4,"Choctaw"
"83",30,0.333333333333333,"Choctaw"
"84",31,0,"Choctaw"
"85",32,0,"Choctaw"
"86",33,0,"Choctaw"
"87",34,0,"Choctaw"
"88",37,1,"Choctaw"
"89",38,0.25,"Choctaw"
"90",39,0.375,"Choctaw"
"91",40,0,"Choctaw"
"92",41,0,"Choctaw"
"93",42,0,"Choctaw"
"94",43,0,"Choctaw"
"95",44,0,"Choctaw"
"96",45,0.0526315789473684,"Choctaw"
"97",46,0,"Choctaw"
"98",47,0,"Choctaw"
"99",48,0,"Choctaw"
"100",50,0,"Choctaw"
"101",52,0,"Choctaw"
"102",1,0.0967741935483871,"Putnam"
"103",2,0.0804597701149425,"Putnam"
"104",3,0.136363636363636,"Putnam"
"105",4,0.0614035087719298,"Putnam"
"106",5,0.0846153846153846,"Putnam"
"107",6,0.166666666666667,"Putnam"
"108",7,0.0848214285714286,"Putnam"
"109",8,0.148809523809524,"Putnam"
"110",9,0.111801242236025,"Putnam"
"111",10,0.191082802547771,"Putnam"
"112",11,0.21259842519685,"Putnam"
"113",12,0.24,"Putnam"
"114",13,0.183333333333333,"Putnam"
"115",14,0.2625,"Putnam"
"116",15,0.194029850746269,"Putnam"
"117",16,0.216216216216216,"Putnam"
"118",17,0.222222222222222,"Putnam"
"119",18,0.178082191780822,"Putnam"
"120",19,0.204918032786885,"Putnam"
"121",20,0.0720720720720721,"Putnam"
"122",21,0.185185185185185,"Putnam"
"123",22,0.111111111111111,"Putnam"
"124",23,0.222222222222222,"Putnam"
"125",24,0.217391304347826,"Putnam"
"126",25,0.037037037037037,"Putnam"
"127",26,0.216216216216216,"Putnam"
"128",27,0.233333333333333,"Putnam"
"129",28,0.0566037735849057,"Putnam"
"130",29,0.216216216216216,"Putnam"
"131",30,0.153846153846154,"Putnam"
"132",31,0.0967741935483871,"Putnam"
"133",32,0,"Putnam"
"134",33,0.0714285714285714,"Putnam"
"135",34,0.117647058823529,"Putnam"
"136",35,0.128205128205128,"Putnam"
"137",36,0.135135135135135,"Putnam"
"138",37,0.266666666666667,"Putnam"
"139",38,0.0625,"Putnam"
"140",39,0.212765957446809,"Putnam"
"141",40,0.156862745098039,"Putnam"
"142",41,0.0857142857142857,"Putnam"
"143",42,0.25,"Putnam"
"144",43,0.25531914893617,"Putnam"
"145",44,0.261904761904762,"Putnam"
"146",45,0.241379310344828,"Putnam"
"147",46,0.210526315789474,"Putnam"
"148",47,0.0892857142857143,"Putnam"
"149",48,0.230769230769231,"Putnam"
"150",49,0.242424242424242,"Putnam"
"151",50,0.0862068965517241,"Putnam"
"152",51,0.171875,"Putnam"
"153",52,0.0641025641025641,"Putnam"
"154",53,0.027027027027027,"Putnam"
"155",1,0.026615969581749,"Jefferson"
"156",2,0.0241935483870968,"Jefferson"
"157",3,0.0202702702702703,"Jefferson"
"158",4,0.0444444444444444,"Jefferson"
"159",5,0.0210526315789474,"Jefferson"
"160",6,0.0169491525423729,"Jefferson"
"161",7,0.0158730158730159,"Jefferson"
"162",8,0.0575539568345324,"Jefferson"
"163",9,0.0277777777777778,"Jefferson"
"164",10,0.04,"Jefferson"
"165",11,0.0902777777777778,"Jefferson"
"166",12,0.0310077519379845,"Jefferson"
"167",13,0.0680272108843537,"Jefferson"
"168",14,0.0787878787878788,"Jefferson"
"169",15,0.111111111111111,"Jefferson"
"170",16,0.1125,"Jefferson"
"171",17,0.115183246073298,"Jefferson"
"172",18,0.162162162162162,"Jefferson"
"173",19,0.10752688172043,"Jefferson"
"174",20,0.114285714285714,"Jefferson"
"175",21,0.141025641025641,"Jefferson"
"176",22,0.0843373493975904,"Jefferson"
"177",23,0.0357142857142857,"Jefferson"
"178",24,0.0714285714285714,"Jefferson"
"179",25,0.0338983050847458,"Jefferson"
"180",26,0.06,"Jefferson"
"181",27,0.0689655172413793,"Jefferson"
"182",28,0,"Jefferson"
"183",29,0.0888888888888889,"Jefferson"
"184",30,0,"Jefferson"
"185",31,0.102040816326531,"Jefferson"
"186",32,0.0666666666666667,"Jefferson"
"187",33,0.0263157894736842,"Jefferson"
"188",34,0.0540540540540541,"Jefferson"
"189",35,0.0721649484536082,"Jefferson"
"190",36,0.0927835051546392,"Jefferson"
"191",37,0.03,"Jefferson"
"192",38,0.0677966101694915,"Jefferson"
"193",39,0.0597014925373134,"Jefferson"
"194",40,0.0659340659340659,"Jefferson"
"195",41,0.0645161290322581,"Jefferson"
"196",42,0.00884955752212389,"Jefferson"
"197",43,0.0449438202247191,"Jefferson"
"198",44,0.0583333333333333,"Jefferson"
"199",45,0.0350877192982456,"Jefferson"
"200",46,0.0208333333333333,"Jefferson"
"201",47,0.024390243902439,"Jefferson"
